,treatment,threshold,round,session,player,decision,score,num_players,group,choice,approx_threshold,absolute_round
9116,upwards,0.5,21,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,52.0
9117,upwards,0.5,21,2,616876846241757,0.0,0.0,4,5,0.0,0.5,52.0
9118,upwards,0.5,22,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,53.0
9119,upwards,0.5,22,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,53.0
9120,upwards,0.5,22,2,477327368780915,0.0,0.0,4,5,0.0,0.5,53.0
9121,upwards,0.5,22,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,53.0
9122,upwards,0.5,23,2,841658927890285,0.0,0.0,4,5,0.0,0.5,54.0
9123,upwards,0.5,23,2,373455036275630,1.0,1.0,4,5,1.0,0.5,54.0
9124,upwards,0.5,23,2,477327368780915,0.0,0.0,4,5,0.0,0.5,54.0
9125,upwards,0.5,23,2,616876846241757,0.0,0.0,4,5,0.0,0.5,54.0
9126,upwards,0.5,24,2,841658927890285,0.0,0.0,4,5,0.0,0.5,55.0
9127,upwards,0.5,24,2,373455036275630,0.0,0.0,4,5,0.0,0.5,55.0
9128,upwards,0.5,24,2,477327368780915,1.0,1.0,4,5,1.0,0.5,55.0
9129,upwards,0.5,24,2,616876846241757,0.0,0.0,4,5,0.0,0.5,55.0
9130,upwards,0.5,25,2,841658927890285,0.0,0.0,4,5,0.0,0.5,56.0
9131,upwards,0.5,25,2,373455036275630,0.0,0.0,4,5,0.0,0.5,56.0
9132,upwards,0.5,25,2,477327368780915,1.0,1.0,4,5,1.0,0.5,56.0
9133,upwards,0.5,25,2,616876846241757,0.0,0.0,4,5,0.0,0.5,56.0
9134,upwards,0.5,26,2,841658927890285,0.0,0.0,4,5,0.0,0.5,57.0
9135,upwards,0.5,26,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,57.0
9136,upwards,0.5,26,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,57.0
9137,upwards,0.5,26,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,57.0
9138,upwards,0.5,27,2,841658927890285,0.0,0.0,4,5,0.0,0.5,58.0
9139,upwards,0.5,27,2,373455036275630,1.0,1.0,4,5,1.0,0.5,58.0
9140,upwards,0.5,27,2,477327368780915,0.0,0.0,4,5,0.0,0.5,58.0
9141,upwards,0.5,27,2,616876846241757,0.0,0.0,4,5,0.0,0.5,58.0
9142,upwards,0.5,28,2,841658927890285,0.0,0.0,4,5,0.0,0.5,59.0
9143,upwards,0.5,28,2,373455036275630,1.0,1.0,4,5,1.0,0.5,59.0
9144,upwards,0.5,28,2,477327368780915,0.0,0.0,4,5,0.0,0.5,59.0
9145,upwards,0.5,28,2,616876846241757,1.0,1.0,4,5,1.0,0.5,59.0
9146,upwards,0.5,29,2,841658927890285,0.0,0.0,4,5,0.0,0.5,60.0
9147,upwards,0.5,29,2,373455036275630,0.0,0.0,4,5,0.0,0.5,60.0
9148,upwards,0.5,29,2,477327368780915,0.0,0.0,4,5,0.0,0.5,60.0
9149,upwards,0.5,29,2,616876846241757,0.0,0.0,4,5,0.0,0.5,60.0
9150,upwards,0.5,30,2,841658927890285,1.0,1.0,4,5,1.0,0.5,61.0
9151,upwards,0.5,30,2,373455036275630,0.0,0.0,4,5,0.0,0.5,61.0
9152,upwards,0.5,30,2,477327368780915,0.0,0.0,4,5,0.0,0.5,61.0
9153,upwards,0.5,30,2,616876846241757,1.0,1.0,4,5,1.0,0.5,61.0
9154,upwards,0.75,0,3,841658927890285,1.0,1.0,4,5,1.0,0.75,62.0
9155,upwards,0.75,0,3,373455036275630,1.0,1.0,4,5,1.0,0.75,62.0
9156,upwards,0.75,0,3,477327368780915,1.0,1.0,4,5,1.0,0.75,62.0
9157,upwards,0.75,0,3,616876846241757,0.0,0.0,4,5,0.0,0.75,62.0
9158,upwards,0.75,1,3,841658927890285,1.0,1.0,4,5,1.0,0.75,63.0
9159,upwards,0.75,1,3,373455036275630,0.0,0.0,4,5,0.0,0.75,63.0
9160,upwards,0.75,1,3,477327368780915,1.0,1.0,4,5,1.0,0.75,63.0
9161,upwards,0.75,1,3,616876846241757,1.0,1.0,4,5,1.0,0.75,63.0
9162,upwards,0.75,2,3,841658927890285,1.0,1.0,4,5,1.0,0.75,64.0
9163,upwards,0.75,2,3,373455036275630,1.0,1.0,4,5,1.0,0.75,64.0
9164,upwards,0.75,2,3,477327368780915,0.0,0.0,4,5,0.0,0.75,64.0
9165,upwards,0.75,2,3,616876846241757,1.0,1.0,4,5,1.0,0.75,64.0
9166,upwards,0.75,3,3,841658927890285,1.0,1.0,4,5,1.0,0.75,65.0
9167,upwards,0.75,3,3,373455036275630,1.0,1.0,4,5,1.0,0.75,65.0
9168,upwards,0.75,3,3,477327368780915,1.0,1.0,4,5,1.0,0.75,65.0
9169,upwards,0.75,3,3,616876846241757,0.0,0.0,4,5,0.0,0.75,65.0
9170,upwards,0.75,4,3,841658927890285,1.0,1.0,4,5,1.0,0.75,66.0
9171,upwards,0.75,4,3,373455036275630,0.0,0.0,4,5,0.0,0.75,66.0
9172,upwards,0.75,4,3,477327368780915,0.0,0.0,4,5,0.0,0.75,66.0
9173,upwards,0.75,4,3,616876846241757,1.0,1.0,4,5,1.0,0.75,66.0
9174,upwards,0.75,5,3,841658927890285,1.0,1.0,4,5,1.0,0.75,67.0
9175,upwards,0.75,5,3,373455036275630,1.0,1.0,4,5,1.0,0.75,67.0
9176,upwards,0.75,5,3,477327368780915,0.0,0.0,4,5,0.0,0.75,67.0
9177,upwards,0.75,5,3,616876846241757,0.0,0.0,4,5,0.0,0.75,67.0
9178,upwards,0.75,6,3,841658927890285,1.0,1.0,4,5,1.0,0.75,68.0
9179,upwards,0.75,6,3,373455036275630,1.0,1.0,4,5,1.0,0.75,68.0
9180,upwards,0.75,6,3,477327368780915,0.0,0.0,4,5,0.0,0.75,68.0
9181,upwards,0.75,6,3,616876846241757,1.0,1.0,4,5,1.0,0.75,68.0
9182,upwards,0.75,7,3,841658927890285,1.0,1.0,4,5,1.0,0.75,69.0
9183,upwards,0.75,7,3,373455036275630,1.0,1.0,4,5,1.0,0.75,69.0
9184,upwards,0.75,7,3,477327368780915,1.0,1.0,4,5,1.0,0.75,69.0
9185,upwards,0.75,7,3,616876846241757,0.0,0.0,4,5,0.0,0.75,69.0
9186,upwards,0.75,8,3,841658927890285,0.0,0.0,4,5,0.0,0.75,70.0
9187,upwards,0.75,8,3,373455036275630,1.0,1.0,4,5,1.0,0.75,70.0
9188,upwards,0.75,8,3,477327368780915,1.0,1.0,4,5,1.0,0.75,70.0
9189,upwards,0.75,8,3,616876846241757,1.0,1.0,4,5,1.0,0.75,70.0
9190,upwards,0.75,9,3,841658927890285,1.0,1.0,4,5,1.0,0.75,71.0
9191,upwards,0.75,9,3,373455036275630,0.0,0.0,4,5,0.0,0.75,71.0
9192,upwards,0.75,9,3,477327368780915,0.0,0.0,4,5,0.0,0.75,71.0
9193,upwards,0.75,9,3,616876846241757,0.0,0.0,4,5,0.0,0.75,71.0
9194,upwards,0.75,10,3,841658927890285,1.0,1.0,4,5,1.0,0.75,72.0
9195,upwards,0.75,10,3,373455036275630,1.0,1.0,4,5,1.0,0.75,72.0
9196,upwards,0.75,10,3,477327368780915,0.0,0.0,4,5,0.0,0.75,72.0
9197,upwards,0.75,10,3,616876846241757,1.0,1.0,4,5,1.0,0.75,72.0
9198,upwards,0.75,11,3,841658927890285,1.0,-1.0,4,5,1.0,0.75,73.0
9199,upwards,0.75,11,3,373455036275630,1.0,-1.0,4,5,1.0,0.75,73.0
9200,upwards,0.75,11,3,477327368780915,1.0,-1.0,4,5,1.0,0.75,73.0
9201,upwards,0.75,11,3,616876846241757,1.0,-1.0,4,5,1.0,0.75,73.0
9202,upwards,0.75,12,3,841658927890285,1.0,1.0,4,5,1.0,0.75,74.0
9203,upwards,0.75,12,3,373455036275630,1.0,1.0,4,5,1.0,0.75,74.0
9204,upwards,0.75,12,3,477327368780915,0.0,0.0,4,5,0.0,0.75,74.0
9205,upwards,0.75,12,3,616876846241757,0.0,0.0,4,5,0.0,0.75,74.0
9206,upwards,0.75,13,3,841658927890285,1.0,1.0,4,5,1.0,0.75,75.0
9207,upwards,0.75,13,3,373455036275630,0.0,0.0,4,5,0.0,0.75,75.0
9208,upwards,0.75,13,3,477327368780915,0.0,0.0,4,5,0.0,0.75,75.0
9209,upwards,0.75,13,3,616876846241757,1.0,1.0,4,5,1.0,0.75,75.0
9210,upwards,0.75,14,3,841658927890285,1.0,1.0,4,5,1.0,0.75,76.0
9211,upwards,0.75,14,3,373455036275630,1.0,1.0,4,5,1.0,0.75,76.0
9212,upwards,0.75,14,3,477327368780915,1.0,1.0,4,5,1.0,0.75,76.0
9213,upwards,0.75,14,3,616876846241757,0.0,0.0,4,5,0.0,0.75,76.0
9214,upwards,0.75,15,3,841658927890285,1.0,-1.0,4,5,1.0,0.75,77.0
